raw_availability_id,external_accommodation_id,availability_date,is_closed,allocation,booked_by_customer,booked_by_owner,actual_available,potential_available,load_ts,source_file
56,ACC2036,2024-02-25 00:00:00,N,3,3,0,0,1,2024-02-08 00:00:00,availability_202402.csv
57,ACC2036,2024-02-26 00:00:00,N,1,0,1,0,0,2024-01-19 00:00:00,availability_202402.csv
58,ACC2036,2024-02-27 00:00:00,N,2,2,1,0,0,2024-04-03 00:00:00,availability_202402.csv
59,ACC2036,2024-02-28 00:00:00,N,2,0,1,1,1,2024-11-22 00:00:00,availability_202402.csv
60,ACC2036,2024-02-29 00:00:00,N,1,1,1,0,1,2024-04-12 00:00:00,availability_202402.csv
61,ACC2036,2024-03-01 00:00:00,N,3,0,1,2,2,2024-06-08 00:00:00,availability_202403.csv
62,ACC2036,2024-03-02 00:00:00,N,2,0,0,2,3,2024-10-06 00:00:00,availability_202403.csv
63,ACC2036,2024-03-03 00:00:00,N,3,2,1,0,0,2024-03-16 00:00:00,availability_202403.csv
64,ACC2036,2024-03-04 00:00:00,N,1,1,1,0,0,2024-12-15 00:00:00,availability_202403.csv
65,ACC2036,2024-03-05 00:00:00,N,2,0,0,2,2,2024-06-26 00:00:00,availability_202403.csv
66,ACC2036,2024-03-06 00:00:00,N,2,2,1,0,0,2024-08-23 00:00:00,availability_202403.csv
67,ACC2036,2024-03-07 00:00:00,N,1,0,0,1,1,2024-11-11 00:00:00,availability_202403.csv
68,ACC2036,2024-03-08 00:00:00,N,3,2,0,1,1,2024-06-26 00:00:00,availability_202403.csv
69,ACC2036,2024-03-09 00:00:00,N,3,0,1,2,2,2024-05-09 00:00:00,availability_202403.csv
70,ACC2036,2024-03-10 00:00:00,N,3,2,0,1,1,2024-03-03 00:00:00,availability_202403.csv
71,ACC2036,2024-03-11 00:00:00,N,2,0,1,1,2,2024-07-01 00:00:00,availability_202403.csv
72,ACC2036,2024-03-12 00:00:00,N,2,2,0,0,0,2024-05-29 00:00:00,availability_202403.csv
73,ACC2036,2024-03-13 00:00:00,Y,3,1,0,2,2,2024-09-16 00:00:00,availability_202403.csv
74,ACC2036,2024-03-14 00:00:00,N,3,0,1,2,2,2024-01-25 00:00:00,availability_202403.csv
75,ACC2036,2024-03-15 00:00:00,N,3,2,0,1,2,2024-07-19 00:00:00,availability_202403.csv
76,ACC2036,2024-03-16 00:00:00,N,3,0,0,3,3,2024-08-01 00:00:00,availability_202403.csv
77,ACC2036,2024-03-17 00:00:00,N,3,3,0,0,0,2024-06-16 00:00:00,availability_202403.csv
78,ACC2036,2024-03-18 00:00:00,N,1,1,0,0,0,2024-05-22 00:00:00,availability_202403.csv
79,ACC2036,2024-03-19 00:00:00,N,3,0,0,3,4,2024-05-02 00:00:00,availability_202403.csv
80,ACC2036,2024-03-20 00:00:00,N,1,0,0,1,1,2024-09-06 00:00:00,availability_202403.csv
81,ACC2036,2024-03-21 00:00:00,N,2,2,1,0,0,2024-10-14 00:00:00,availability_202403.csv
82,ACC2036,2024-03-22 00:00:00,Y,1,1,1,0,0,2024-09-03 00:00:00,availability_202403.csv
83,ACC2036,2024-03-23 00:00:00,N,3,3,1,0,1,2024-03-20 00:00:00,availability_202403.csv
84,ACC2036,2024-03-24 00:00:00,N,3,2,0,1,1,2024-09-24 00:00:00,availability_202403.csv
85,ACC2036,2024-03-25 00:00:00,N,2,2,1,0,1,2024-10-11 00:00:00,availability_202403.csv
86,ACC2036,2024-03-26 00:00:00,N,2,2,0,0,0,2024-09-20 00:00:00,availability_202403.csv
87,ACC2036,2024-03-27 00:00:00,N,2,0,1,1,2,2024-12-09 00:00:00,availability_202403.csv
88,ACC2036,2024-03-28 00:00:00,N,3,3,0,0,0,2024-06-10 00:00:00,availability_202403.csv
89,ACC2036,2024-03-29 00:00:00,N,1,0,0,1,1,2024-02-23 00:00:00,availability_202403.csv
90,ACC2036,2024-03-30 00:00:00,N,1,0,1,0,1,2024-08-28 00:00:00,availability_202403.csv
91,ACC2036,2024-03-31 00:00:00,N,3,1,0,2,3,2024-03-04 00:00:00,availability_202403.csv
92,ACC2036,2024-04-01 00:00:00,Y,2,1,0,1,2,2024-07-01 00:00:00,availability_202404.csv
93,ACC2036,2024-04-02 00:00:00,N,2,2,1,0,1,2024-06-17 00:00:00,availability_202404.csv
94,ACC2036,2024-04-03 00:00:00,N,3,3,0,0,1,2024-11-02 00:00:00,availability_202404.csv
95,ACC2036,2024-04-04 00:00:00,N,2,1,1,0,1,2024-03-10 00:00:00,availability_202404.csv
96,ACC2036,2024-04-05 00:00:00,N,1,1,1,0,1,2024-08-28 00:00:00,availability_202404.csv
97,ACC2036,2024-04-06 00:00:00,Y,2,0,0,2,2,2024-10-05 00:00:00,availability_202404.csv
98,ACC2036,2024-04-07 00:00:00,N,1,0,1,0,0,2024-09-13 00:00:00,availability_202404.csv
99,ACC2036,2024-04-08 00:00:00,N,3,1,1,1,1,2024-09-30 00:00:00,availability_202404.csv
100,ACC2036,2024-04-09 00:00:00,N,3,2,0,1,1,2024-07-05 00:00:00,availability_202404.csv
101,ACC2036,2024-04-10 00:00:00,N,1,1,0,0,1,2024-09-04 00:00:00,availability_202404.csv
102,ACC2036,2024-04-11 00:00:00,N,2,1,0,1,2,2024-08-02 00:00:00,availability_202404.csv
103,ACC2036,2024-04-12 00:00:00,N,3,2,0,1,1,2024-08-06 00:00:00,availability_202404.csv
104,ACC2036,2024-04-13 00:00:00,N,1,1,1,0,1,2024-06-10 00:00:00,availability_202404.csv
105,ACC2036,2024-04-14 00:00:00,N,1,1,0,0,0,2024-09-06 00:00:00,availability_202404.csv
106,ACC2036,2024-04-15 00:00:00,N,2,1,0,1,1,2024-11-09 00:00:00,availability_202404.csv
107,ACC2036,2024-04-16 00:00:00,N,1,0,0,1,2,2024-05-03 00:00:00,availability_202404.csv
108,ACC2036,2024-04-17 00:00:00,N,3,2,0,1,2,2024-01-22 00:00:00,availability_202404.csv
109,ACC2036,2024-04-18 00:00:00,N,3,2,0,1,2,2024-05-01 00:00:00,availability_202404.csv
110,ACC2036,2024-04-19 00:00:00,N,2,2,0,0,1,2024-11-13 00:00:00,availability_202404.csv
111,ACC2036,2024-04-20 00:00:00,N,3,3,1,0,1,2024-05-19 00:00:00,availability_202404.csv
112,ACC2036,2024-04-21 00:00:00,N,3,3,0,0,1,2024-08-25 00:00:00,availability_202404.csv
113,ACC2036,2024-04-22 00:00:00,N,1,1,0,0,1,2024-08-22 00:00:00,availability_202404.csv
114,ACC2036,2024-04-23 00:00:00,N,3,0,1,2,3,2024-06-21 00:00:00,availability_202404.csv
115,ACC2036,2024-04-24 00:00:00,N,3,3,1,0,1,2024-02-18 00:00:00,availability_202404.csv
116,ACC2036,2024-04-25 00:00:00,Y,1,0,1,0,1,2024-04-15 00:00:00,availability_202404.csv
117,ACC2036,2024-04-26 00:00:00,N,2,2,0,0,0,2024-05-30 00:00:00,availability_202404.csv
118,ACC2036,2024-04-27 00:00:00,N,1,1,1,0,1,2024-04-19 00:00:00,availability_202404.csv
119,ACC2036,2024-04-28 00:00:00,N,1,1,0,0,1,2024-12-04 00:00:00,availability_202404.csv
120,ACC2036,2024-04-29 00:00:00,N,2,0,1,1,1,2024-07-17 00:00:00,availability_202404.csv
121,ACC2036,2024-04-30 00:00:00,N,2,2,1,0,1,2024-05-06 00:00:00,availability_202404.csv
122,ACC2036,2024-05-01 00:00:00,Y,2,0,0,2,3,2024-08-13 00:00:00,availability_202405.csv
123,ACC2036,2024-05-02 00:00:00,N,3,3,1,0,0,2024-03-15 00:00:00,availability_202405.csv
124,ACC2036,2024-05-03 00:00:00,N,2,1,1,0,0,2024-10-10 00:00:00,availability_202405.csv
125,ACC2036,2024-05-04 00:00:00,N,1,0,0,1,2,2024-11-28 00:00:00,availability_202405.csv
126,ACC2036,2024-05-05 00:00:00,N,1,1,0,0,1,2024-01-14 00:00:00,availability_202405.csv
127,ACC2036,2024-05-06 00:00:00,N,3,2,0,1,2,2024-12-12 00:00:00,availability_202405.csv
128,ACC2036,2024-05-07 00:00:00,N,3,2,1,0,0,2024-02-01 00:00:00,availability_202405.csv
129,ACC2036,2024-05-08 00:00:00,N,3,2,0,1,2,2024-04-14 00:00:00,availability_202405.csv
130,ACC2036,2024-05-09 00:00:00,N,1,1,1,0,1,2024-01-12 00:00:00,availability_202405.csv
131,ACC2036,2024-05-10 00:00:00,N,2,0,1,1,2,2024-05-10 00:00:00,availability_202405.csv
132,ACC2036,2024-05-11 00:00:00,N,3,0,1,2,2,2024-01-03 00:00:00,availability_202405.csv
133,ACC2036,2024-05-12 00:00:00,N,1,1,0,0,1,2024-07-29 00:00:00,availability_202405.csv
134,ACC2036,2024-05-13 00:00:00,N,1,0,0,1,1,2024-01-27 00:00:00,availability_202405.csv
135,ACC2036,2024-05-14 00:00:00,N,3,3,1,0,0,2024-08-15 00:00:00,availability_202405.csv
136,ACC2036,2024-05-15 00:00:00,N,3,3,0,0,0,2024-03-31 00:00:00,availability_202405.csv
137,ACC2036,2024-05-16 00:00:00,N,3,2,1,0,0,2024-05-16 00:00:00,availability_202405.csv
138,ACC2036,2024-05-17 00:00:00,N,2,2,1,0,0,2024-07-10 00:00:00,availability_202405.csv
139,ACC2036,2024-05-18 00:00:00,N,1,1,0,0,1,2024-11-19 00:00:00,availability_202405.csv
140,ACC2036,2024-05-19 00:00:00,N,2,1,1,0,1,2024-09-17 00:00:00,availability_202405.csv
141,ACC2036,2024-05-20 00:00:00,N,2,2,0,0,1,2024-02-04 00:00:00,availability_202405.csv
142,ACC2036,2024-05-21 00:00:00,N,1,1,0,0,0,2024-06-30 00:00:00,availability_202405.csv
143,ACC2036,2024-05-22 00:00:00,N,3,0,1,2,3,2024-08-23 00:00:00,availability_202405.csv
144,ACC2036,2024-05-23 00:00:00,N,1,1,0,0,0,2024-11-21 00:00:00,availability_202405.csv
145,ACC2036,2024-05-24 00:00:00,N,1,1,1,0,0,2024-05-11 00:00:00,availability_202405.csv
146,ACC2036,2024-05-25 00:00:00,N,1,0,1,0,0,2024-01-24 00:00:00,availability_202405.csv
147,ACC2036,2024-05-26 00:00:00,N,2,0,0,2,3,2024-12-15 00:00:00,availability_202405.csv
148,ACC2036,2024-05-27 00:00:00,N,2,1,1,0,1,2024-01-01 00:00:00,availability_202405.csv
149,ACC2036,2024-05-28 00:00:00,N,2,0,0,2,3,2024-02-22 00:00:00,availability_202405.csv
150,ACC2036,2024-05-29 00:00:00,N,2,1,0,1,2,2024-01-05 00:00:00,availability_202405.csv
151,ACC2036,2024-05-30 00:00:00,N,2,1,0,1,2,2024-03-21 00:00:00,availability_202405.csv
152,ACC2036,2024-05-31 00:00:00,N,3,0,1,2,2,2024-09-06 00:00:00,availability_202405.csv
153,ACC2036,2024-06-01 00:00:00,N,3,3,1,0,0,2024-08-12 00:00:00,availability_202406.csv
154,ACC2036,2024-06-02 00:00:00,N,1,0,1,0,0,2024-07-21 00:00:00,availability_202406.csv
155,ACC2036,2024-06-03 00:00:00,N,3,1,0,2,3,2024-08-03 00:00:00,availability_202406.csv
156,ACC2036,2024-06-04 00:00:00,N,2,1,0,1,1,2024-05-24 00:00:00,availability_202406.csv
157,ACC2036,2024-06-05 00:00:00,N,2,1,0,1,1,2024-12-15 00:00:00,availability_202406.csv
158,ACC2036,2024-06-06 00:00:00,N,1,1,0,0,0,2024-06-12 00:00:00,availability_202406.csv
159,ACC2036,2024-06-07 00:00:00,N,3,2,0,1,1,2024-07-20 00:00:00,availability_202406.csv
160,ACC2036,2024-06-08 00:00:00,Y,1,0,1,0,1,2024-04-25 00:00:00,availability_202406.csv
161,ACC2036,2024-06-09 00:00:00,N,1,0,0,1,1,2024-12-30 00:00:00,availability_202406.csv
162,ACC2036,2024-06-10 00:00:00,N,2,1,1,0,1,2024-05-26 00:00:00,availability_202406.csv
163,ACC2036,2024-06-11 00:00:00,N,3,0,1,2,2,2024-05-22 00:00:00,availability_202406.csv
164,ACC2036,2024-06-12 00:00:00,N,1,0,1,0,1,2024-04-23 00:00:00,availability_202406.csv
165,ACC2036,2024-06-13 00:00:00,N,2,0,0,2,3,2024-02-07 00:00:00,availability_202406.csv
166,ACC2036,2024-06-14 00:00:00,N,2,2,0,0,0,2024-05-02 00:00:00,availability_202406.csv
167,ACC2036,2024-06-15 00:00:00,N,3,0,1,2,2,2024-02-29 00:00:00,availability_202406.csv
168,ACC2036,2024-06-16 00:00:00,N,1,1,1,0,1,2024-05-31 00:00:00,availability_202406.csv
169,ACC2036,2024-06-17 00:00:00,N,2,1,1,0,0,2024-06-10 00:00:00,availability_202406.csv
170,ACC2036,2024-06-18 00:00:00,Y,1,0,1,0,1,2024-12-06 00:00:00,availability_202406.csv
171,ACC2036,2024-06-19 00:00:00,N,2,1,0,1,1,2024-11-14 00:00:00,availability_202406.csv
172,ACC2036,2024-06-20 00:00:00,N,2,0,1,1,2,2024-05-28 00:00:00,availability_202406.csv
173,ACC2036,2024-06-21 00:00:00,N,1,0,0,1,2,2024-12-01 00:00:00,availability_202406.csv
174,ACC2036,2024-06-22 00:00:00,N,1,1,1,0,1,2024-05-06 00:00:00,availability_202406.csv
175,ACC2036,2024-06-23 00:00:00,Y,2,1,0,1,1,2024-06-20 00:00:00,availability_202406.csv
176,ACC2036,2024-06-24 00:00:00,N,3,2,0,1,2,2024-10-27 00:00:00,availability_202406.csv
177,ACC2036,2024-06-25 00:00:00,N,2,2,1,0,0,2024-08-31 00:00:00,availability_202406.csv
178,ACC2036,2024-06-26 00:00:00,N,3,2,1,0,0,2024-08-20 00:00:00,availability_202406.csv
179,ACC2036,2024-06-27 00:00:00,N,1,1,1,0,1,2024-09-28 00:00:00,availability_202406.csv
180,ACC2036,2024-06-28 00:00:00,N,3,0,0,3,4,2024-08-04 00:00:00,availability_202406.csv
181,ACC2036,2024-06-29 00:00:00,N,3,1,0,2,3,2024-08-01 00:00:00,availability_202406.csv
182,ACC2036,2024-06-30 00:00:00,N,1,1,1,0,0,2024-06-12 00:00:00,availability_202406.csv
183,ACC2036,2024-07-01 00:00:00,N,1,1,1,0,0,2024-03-06 00:00:00,availability_202407.csv
184,ACC2036,2024-07-02 00:00:00,Y,3,2,1,0,0,2024-01-02 00:00:00,availability_202407.csv
185,ACC2036,2024-07-03 00:00:00,N,1,1,0,0,1,2024-02-07 00:00:00,availability_202407.csv
186,ACC2036,2024-07-04 00:00:00,N,3,2,0,1,2,2024-05-06 00:00:00,availability_202407.csv
187,ACC2036,2024-07-05 00:00:00,N,2,1,0,1,2,2024-09-20 00:00:00,availability_202407.csv
188,ACC2036,2024-07-06 00:00:00,Y,1,1,0,0,0,2024-09-23 00:00:00,availability_202407.csv
189,ACC2036,2024-07-07 00:00:00,N,1,1,0,0,0,2024-10-06 00:00:00,availability_202407.csv
190,ACC2036,2024-07-08 00:00:00,N,1,1,0,0,1,2024-12-30 00:00:00,availability_202407.csv
191,ACC2036,2024-07-09 00:00:00,N,1,1,0,0,0,2024-12-21 00:00:00,availability_202407.csv
192,ACC2036,2024-07-10 00:00:00,N,3,0,1,2,2,2024-06-23 00:00:00,availability_202407.csv
193,ACC2036,2024-07-11 00:00:00,N,3,3,0,0,0,2024-04-30 00:00:00,availability_202407.csv
194,ACC2036,2024-07-12 00:00:00,N,1,0,1,0,1,2024-08-02 00:00:00,availability_202407.csv
195,ACC2036,2024-07-13 00:00:00,N,1,0,0,1,2,2024-08-08 00:00:00,availability_202407.csv
196,ACC2036,2024-07-14 00:00:00,N,2,1,1,0,0,2024-03-17 00:00:00,availability_202407.csv
197,ACC2036,2024-07-15 00:00:00,N,3,2,0,1,1,2024-01-27 00:00:00,availability_202407.csv
198,ACC2036,2024-07-16 00:00:00,N,2,1,1,0,1,2024-11-02 00:00:00,availability_202407.csv
199,ACC2036,2024-07-17 00:00:00,Y,1,0,1,0,0,2024-01-01 00:00:00,availability_202407.csv
200,ACC2036,2024-07-18 00:00:00,N,1,0,0,1,2,2024-08-09 00:00:00,availability_202407.csv
201,ACC2036,2024-07-19 00:00:00,N,2,1,1,0,0,2024-08-02 00:00:00,availability_202407.csv
202,ACC2036,2024-07-20 00:00:00,N,2,1,1,0,0,2024-04-18 00:00:00,availability_202407.csv
203,ACC2036,2024-07-21 00:00:00,N,1,1,1,0,1,2024-04-30 00:00:00,availability_202407.csv
204,ACC2036,2024-07-22 00:00:00,N,3,3,1,0,1,2024-05-18 00:00:00,availability_202407.csv
205,ACC2036,2024-07-23 00:00:00,N,2,0,1,1,2,2024-04-07 00:00:00,availability_202407.csv
206,ACC2036,2024-07-24 00:00:00,Y,1,0,0,1,1,2024-05-18 00:00:00,availability_202407.csv
207,ACC2036,2024-07-25 00:00:00,N,3,3,1,0,0,2024-07-30 00:00:00,availability_202407.csv
208,ACC2036,2024-07-26 00:00:00,N,1,0,1,0,1,2024-09-07 00:00:00,availability_202407.csv
209,ACC2036,2024-07-27 00:00:00,N,2,1,1,0,0,2024-12-18 00:00:00,availability_202407.csv
210,ACC2036,2024-07-28 00:00:00,N,2,2,0,0,1,2024-01-19 00:00:00,availability_202407.csv
211,ACC2036,2024-07-29 00:00:00,N,3,1,1,1,2,2024-03-13 00:00:00,availability_202407.csv
212,ACC2036,2024-07-30 00:00:00,N,3,3,1,0,0,2024-10-28 00:00:00,availability_202407.csv
213,ACC2036,2024-07-31 00:00:00,N,1,0,1,0,1,2024-07-14 00:00:00,availability_202407.csv
214,ACC2036,2024-08-01 00:00:00,N,3,1,0,2,3,2024-03-13 00:00:00,availability_202408.csv
215,ACC2036,2024-08-02 00:00:00,N,2,1,0,1,2,2024-10-02 00:00:00,availability_202408.csv
216,ACC2036,2024-08-03 00:00:00,N,1,0,0,1,1,2024-05-10 00:00:00,availability_202408.csv
217,ACC2036,2024-08-04 00:00:00,N,1,0,1,0,1,2024-10-14 00:00:00,availability_202408.csv
218,ACC2036,2024-08-05 00:00:00,N,3,0,0,3,3,2024-09-20 00:00:00,availability_202408.csv
219,ACC2036,2024-08-06 00:00:00,N,1,0,1,0,0,2024-08-03 00:00:00,availability_202408.csv
220,ACC2036,2024-08-07 00:00:00,N,1,1,1,0,0,2024-03-09 00:00:00,availability_202408.csv
221,ACC2036,2024-08-08 00:00:00,N,3,3,1,0,0,2024-07-05 00:00:00,availability_202408.csv
222,ACC2036,2024-08-09 00:00:00,N,3,1,1,1,2,2024-12-22 00:00:00,availability_202408.csv
223,ACC2036,2024-08-10 00:00:00,N,1,0,0,1,1,2024-05-02 00:00:00,availability_202408.csv
224,ACC2036,2024-08-11 00:00:00,N,3,0,1,2,3,2024-08-27 00:00:00,availability_202408.csv
225,ACC2036,2024-08-12 00:00:00,N,3,0,1,2,3,2024-05-11 00:00:00,availability_202408.csv
226,ACC2036,2024-08-13 00:00:00,N,2,1,0,1,1,2024-02-10 00:00:00,availability_202408.csv
227,ACC2036,2024-08-14 00:00:00,Y,3,0,1,2,2,2024-09-17 00:00:00,availability_202408.csv
228,ACC2036,2024-08-15 00:00:00,N,2,0,1,1,1,2024-07-20 00:00:00,availability_202408.csv
229,ACC2036,2024-08-16 00:00:00,N,1,0,1,0,1,2024-11-13 00:00:00,availability_202408.csv
230,ACC2036,2024-08-17 00:00:00,N,2,2,0,0,1,2024-03-13 00:00:00,availability_202408.csv
231,ACC2036,2024-08-18 00:00:00,N,1,1,0,0,0,2024-03-09 00:00:00,availability_202408.csv
232,ACC2036,2024-08-19 00:00:00,N,2,0,1,1,2,2024-09-01 00:00:00,availability_202408.csv
233,ACC2036,2024-08-20 00:00:00,N,2,0,1,1,2,2024-08-16 00:00:00,availability_202408.csv
234,ACC2036,2024-08-21 00:00:00,N,3,2,0,1,1,2024-12-03 00:00:00,availability_202408.csv
235,ACC2036,2024-08-22 00:00:00,N,3,2,0,1,2,2024-09-26 00:00:00,availability_202408.csv
236,ACC2036,2024-08-23 00:00:00,N,2,1,0,1,2,2024-04-07 00:00:00,availability_202408.csv
237,ACC2036,2024-08-24 00:00:00,N,3,1,1,1,2,2024-10-04 00:00:00,availability_202408.csv
238,ACC2036,2024-08-25 00:00:00,N,3,2,0,1,1,2024-12-07 00:00:00,availability_202408.csv
239,ACC2036,2024-08-26 00:00:00,N,2,1,1,0,0,2024-07-07 00:00:00,availability_202408.csv
240,ACC2036,2024-08-27 00:00:00,N,3,2,1,0,0,2024-07-15 00:00:00,availability_202408.csv
241,ACC2036,2024-08-28 00:00:00,N,3,1,0,2,2,2024-03-07 00:00:00,availability_202408.csv
242,ACC2036,2024-08-29 00:00:00,N,3,0,0,3,4,2024-06-07 00:00:00,availability_202408.csv
243,ACC2036,2024-08-30 00:00:00,N,2,0,1,1,2,2024-10-30 00:00:00,availability_202408.csv
244,ACC2036,2024-08-31 00:00:00,N,2,1,1,0,0,2024-09-23 00:00:00,availability_202408.csv
245,ACC2036,2024-09-01 00:00:00,N,3,3,0,0,0,2024-04-25 00:00:00,availability_202409.csv
246,ACC2036,2024-09-02 00:00:00,N,3,2,1,0,1,2024-10-26 00:00:00,availability_202409.csv
247,ACC2036,2024-09-03 00:00:00,N,1,0,0,1,2,2024-08-12 00:00:00,availability_202409.csv
248,ACC2036,2024-09-04 00:00:00,N,1,0,1,0,0,2024-02-14 00:00:00,availability_202409.csv
249,ACC2036,2024-09-05 00:00:00,N,3,2,1,0,1,2024-10-19 00:00:00,availability_202409.csv
250,ACC2036,2024-09-06 00:00:00,N,2,0,1,1,2,2024-06-29 00:00:00,availability_202409.csv
251,ACC2036,2024-09-07 00:00:00,N,2,2,1,0,0,2024-12-28 00:00:00,availability_202409.csv
