raw_booking_id,source_system,external_booking_id,booking_reference,external_customer_id,brochure,brand,created_ts,cancelled_ts,cancellation_reason,confirmed_ts,accommodation_start,accommodation_end,component_start,component_end,total_price,total_cost,credit_card_fee,booking_fee,cancellation_fee,adults,children,infants,is_owner_booking,booking_channel,channel_group,channel_reference,external_accommodation_id,load_ts,source_file
21,Micros,BK900021,BHG-2024-000021,CUST100431,BRO-CHÂ-SPR24,Château Moderne,2023-03-07 00:00:00,2023-04-04 07:00:00,Change of plans,2023-03-07 07:00:00,2023-08-17 07:00:00,2023-08-20 07:00:00,2023-08-17 07:00:00,2023-08-20 07:00:00,7333.44,5056.43,202.48,41.56,1466.69,3,0,1,Y,Corporate,Direct,CH-4272,ACC2060,2023-03-07 00:00:00,bookings_202303.csv
22,ProtelPMS,BK900022,BHG-2024-000022,CUST100201,BRO-CHÂ-SUM24,Château Moderne,2024-05-17 00:00:00,,,2024-05-19 08:00:00,2024-11-15 08:00:00,2024-11-18 08:00:00,2024-11-15 08:00:00,2024-11-18 08:00:00,7727.38,5687.31,138.2,26.19,0.0,3,0,1,N,Web,Direct,CH-1085,ACC2017,2024-05-17 00:00:00,bookings_202405.csv
23,Mews,BK900023,BHG-2024-000023,CUST100369,BRO-GRA-SPR24,Grand Palais,2024-02-22 00:00:00,,,2024-02-25 00:00:00,2024-07-20 00:00:00,2024-07-22 00:00:00,2024-07-20 00:00:00,2024-07-22 00:00:00,1907.09,1139.9,52.28,22.54,0.0,3,2,1,N,Web,Indirect,CH-8004,ACC2050,2024-02-22 00:00:00,bookings_202402.csv
24,Mews,BK900024,BHG-2024-000024,CUST100641,BRO-CHÂ-SPR24,Château Moderne,2023-03-14 00:00:00,,,2023-03-17 00:00:00,2023-04-13 00:00:00,2023-04-15 00:00:00,2023-04-13 00:00:00,2023-04-15 00:00:00,2341.53,1315.57,54.11,1.01,0.0,2,0,0,N,Corporate,Corporate,CH-6863,ACC2025,2023-03-14 00:00:00,bookings_202303.csv
25,Micros,BK900025,BHG-2024-000025,CUST100070,BRO-CHÂ-AUT24,Château Moderne,2023-06-11 00:00:00,,,2023-06-12 12:00:00,2023-07-08 12:00:00,2023-07-18 12:00:00,2023-07-08 12:00:00,2023-07-18 12:00:00,19964.94,11240.84,508.36,4.99,0.0,4,2,0,N,GDS,Direct,CH-1528,ACC2056,2023-06-11 00:00:00,bookings_202306.csv
26,Micros,BK900026,BHG-2024-000026,CUST100347,BRO-CHÂ-SUM24,Château Moderne,2023-09-25 00:00:00,,,2023-09-26 01:00:00,2023-12-27 01:00:00,2023-12-28 01:00:00,2023-12-27 01:00:00,2023-12-28 01:00:00,714.56,404.99,20.88,40.69,0.0,2,0,0,N,Web,Indirect,CH-2320,ACC2027,2023-09-25 00:00:00,bookings_202309.csv
27,Mews,BK900027,BHG-2024-000027,CUST100565,BRO-CHÂ-SUM24,Château Moderne,2023-05-13 00:00:00,2023-05-31 10:00:00,Change of plans,2023-05-14 10:00:00,2023-05-31 10:00:00,2023-06-02 10:00:00,2023-05-31 10:00:00,2023-06-02 10:00:00,1134.15,827.65,31.92,10.25,226.83,1,0,1,N,OTA,Corporate,CH-7215,ACC2031,2023-05-13 00:00:00,bookings_202305.csv
28,ProtelPMS,BK900028,BHG-2024-000028,CUST100699,BRO-CHÂ-SPR24,Château Moderne,2023-01-19 00:00:00,,,2023-01-21 22:00:00,2023-05-31 22:00:00,2023-06-01 22:00:00,2023-05-31 22:00:00,2023-06-01 22:00:00,1522.12,1029.55,25.47,5.31,0.0,2,0,1,N,Telephone,Indirect,CH-8152,ACC2044,2023-01-19 00:00:00,bookings_202301.csv
29,ProtelPMS,BK900029,BHG-2024-000029,CUST100060,BRO-GRA-SUM24,Grand Palais,2023-08-26 00:00:00,,,2023-08-26 11:00:00,2024-01-30 11:00:00,2024-01-31 11:00:00,2024-01-30 11:00:00,2024-01-31 11:00:00,3036.43,1680.44,78.33,36.57,0.0,3,2,0,N,Telephone,Indirect,CH-3958,ACC2016,2023-08-26 00:00:00,bookings_202308.csv
30,Mews,BK900030,BHG-2024-000030,CUST100290,BRO-MAI-WIN24,Maison Royale,2023-11-18 00:00:00,,,2023-11-19 20:00:00,2024-04-28 20:00:00,2024-05-01 20:00:00,2024-04-28 20:00:00,2024-05-01 20:00:00,1704.1,985.22,27.52,11.26,0.0,1,2,1,Y,GDS,Corporate,CH-6848,ACC2003,2023-11-18 00:00:00,bookings_202311.csv
31,ProtelPMS,BK900031,BHG-2024-000031,CUST100226,BRO-CHÂ-AUT24,Château Moderne,2024-12-31 00:00:00,,,2025-01-01 14:00:00,2025-04-11 14:00:00,2025-04-21 14:00:00,2025-04-11 14:00:00,2025-04-21 14:00:00,12883.52,8690.27,213.42,15.6,0.0,3,0,0,Y,Travel Agent,Direct,CH-4335,ACC2029,2024-12-31 00:00:00,bookings_202412.csv
32,Mews,BK900032,BHG-2024-000032,CUST100141,BRO-GRA-SUM24,Grand Palais,2024-06-17 00:00:00,,,2024-06-18 05:00:00,2024-09-11 05:00:00,2024-09-21 05:00:00,2024-09-11 05:00:00,2024-09-21 05:00:00,20016.95,14224.42,495.39,20.42,0.0,2,0,0,N,Corporate,Direct,CH-5428,ACC2054,2024-06-17 00:00:00,bookings_202406.csv
33,Micros,BK900033,BHG-2024-000033,CUST100285,BRO-CHÂ-AUT24,Château Moderne,2024-01-29 00:00:00,,,2024-01-30 14:00:00,2024-02-27 14:00:00,2024-02-28 14:00:00,2024-02-27 14:00:00,2024-02-28 14:00:00,338.68,216.08,7.34,10.1,0.0,2,1,1,N,GDS,Indirect,CH-9724,ACC2038,2024-01-29 00:00:00,bookings_202401.csv
34,Micros,BK900034,BHG-2024-000034,CUST100054,BRO-GRA-AUT24,Grand Palais,2023-11-09 00:00:00,,,2023-11-09 04:00:00,2024-04-02 04:00:00,2024-04-06 04:00:00,2024-04-02 04:00:00,2024-04-06 04:00:00,6843.85,4694.34,180.4,15.34,0.0,2,0,0,Y,GDS,Corporate,CH-1935,ACC2043,2023-11-09 00:00:00,bookings_202311.csv
35,ProtelPMS,BK900035,BHG-2024-000035,CUST100112,BRO-MAI-WIN24,Maison Royale,2024-02-02 00:00:00,,,2024-02-03 12:00:00,2024-06-25 12:00:00,2024-07-02 12:00:00,2024-06-25 12:00:00,2024-07-02 12:00:00,6172.53,3936.2,161.62,41.61,0.0,3,2,0,N,Travel Agent,Corporate,CH-5495,ACC2036,2024-02-02 00:00:00,bookings_202402.csv
36,Micros,BK900036,BHG-2024-000036,CUST100088,BRO-GRA-SUM24,Grand Palais,2024-07-09 00:00:00,,,2024-07-10 13:00:00,2024-10-11 13:00:00,2024-10-25 13:00:00,2024-10-11 13:00:00,2024-10-25 13:00:00,10808.11,6567.2,267.99,34.72,0.0,2,0,0,N,Travel Agent,Corporate,CH-6259,ACC2016,2024-07-09 00:00:00,bookings_202407.csv
37,Micros,BK900037,BHG-2024-000037,CUST100271,BRO-GRA-SUM24,Grand Palais,2023-07-03 00:00:00,,,2023-07-05 08:00:00,2023-11-07 08:00:00,2023-11-08 08:00:00,2023-11-07 08:00:00,2023-11-08 08:00:00,1138.68,847.4,20.8,2.64,0.0,2,0,0,N,OTA,Corporate,CH-6145,ACC2055,2023-07-03 00:00:00,bookings_202307.csv
38,Mews,BK900038,BHG-2024-000038,CUST100066,BRO-CHÂ-SUM24,Château Moderne,2023-07-04 00:00:00,,,2023-07-05 09:00:00,2023-09-20 09:00:00,2023-09-23 09:00:00,2023-09-20 09:00:00,2023-09-23 09:00:00,841.09,582.14,13.24,5.15,0.0,1,0,0,N,GDS,Corporate,CH-8214,ACC2029,2023-07-04 00:00:00,bookings_202307.csv
39,Micros,BK900039,BHG-2024-000039,CUST100594,BRO-CHÂ-WIN24,Château Moderne,2023-02-12 00:00:00,,,2023-02-14 22:00:00,2023-04-20 22:00:00,2023-04-21 22:00:00,2023-04-20 22:00:00,2023-04-21 22:00:00,1482.32,1107.62,30.09,32.32,0.0,2,0,0,N,Web,Direct,CH-9305,ACC2021,2023-02-12 00:00:00,bookings_202302.csv
40,ProtelPMS,BK900040,BHG-2024-000040,CUST100455,BRO-GRA-SPR24,Grand Palais,2024-06-07 00:00:00,,,2024-06-07 09:00:00,2024-08-13 09:00:00,2024-08-16 09:00:00,2024-08-13 09:00:00,2024-08-16 09:00:00,4257.1,3198.98,72.99,14.69,0.0,2,1,0,N,Corporate,Corporate,CH-7139,ACC2008,2024-06-07 00:00:00,bookings_202406.csv
41,Micros,BK900041,BHG-2024-000041,CUST100482,BRO-GRA-SPR24,Grand Palais,2024-09-28 00:00:00,2024-10-28 03:00:00,Flight cancelled,2024-09-28 03:00:00,2024-11-15 03:00:00,2024-11-19 03:00:00,2024-11-15 03:00:00,2024-11-19 03:00:00,980.41,586.91,19.31,32.21,196.08,1,2,0,Y,OTA,Direct,CH-3458,ACC2019,2024-09-28 00:00:00,bookings_202409.csv
42,Micros,BK900042,BHG-2024-000042,CUST100391,BRO-GRA-AUT24,Grand Palais,2024-10-26 00:00:00,,,2024-10-26 10:00:00,2024-11-21 10:00:00,2024-11-24 10:00:00,2024-11-21 10:00:00,2024-11-24 10:00:00,3721.71,2150.72,104.87,35.92,0.0,2,2,1,Y,Travel Agent,Indirect,CH-4195,ACC2049,2024-10-26 00:00:00,bookings_202410.csv
43,Mews,BK900043,BHG-2024-000043,CUST100590,BRO-GRA-SUM24,Grand Palais,2023-09-07 00:00:00,,,2023-09-08 18:00:00,2023-11-16 18:00:00,2023-11-20 18:00:00,2023-11-16 18:00:00,2023-11-20 18:00:00,4310.57,3320.22,91.16,3.59,0.0,2,0,0,N,GDS,Indirect,CH-4774,ACC2019,2023-09-07 00:00:00,bookings_202309.csv
44,Micros,BK900044,BHG-2024-000044,CUST100460,BRO-CHÂ-AUT24,Château Moderne,2024-03-04 00:00:00,,,2024-03-05 05:00:00,2024-08-04 05:00:00,2024-08-06 05:00:00,2024-08-04 05:00:00,2024-08-06 05:00:00,1356.02,994.03,27.29,5.31,0.0,1,1,0,Y,OTA,Direct,CH-9096,ACC2051,2024-03-04 00:00:00,bookings_202403.csv
45,ProtelPMS,BK900045,BHG-2024-000045,CUST100648,BRO-MAI-WIN24,Maison Royale,2023-07-22 00:00:00,,,2023-07-22 23:00:00,2023-11-22 23:00:00,2023-11-23 23:00:00,2023-11-22 23:00:00,2023-11-23 23:00:00,1594.11,923.1,24.73,19.41,0.0,2,0,1,N,Telephone,Corporate,CH-9672,ACC2057,2023-07-22 00:00:00,bookings_202307.csv
46,Mews,BK900046,BHG-2024-000046,CUST100398,BRO-CHÂ-SUM24,Château Moderne,2024-03-08 00:00:00,,,2024-03-09 21:00:00,2024-04-17 21:00:00,2024-04-22 21:00:00,2024-04-17 21:00:00,2024-04-22 21:00:00,2225.06,1645.84,44.61,27.39,0.0,1,0,0,N,Web,Corporate,CH-6815,ACC2058,2024-03-08 00:00:00,bookings_202403.csv
47,Micros,BK900047,BHG-2024-000047,CUST100460,BRO-GRA-WIN24,Grand Palais,2024-02-23 00:00:00,,,2024-02-25 09:00:00,2024-06-22 09:00:00,2024-06-25 09:00:00,2024-06-22 09:00:00,2024-06-25 09:00:00,7024.09,4815.7,191.77,22.92,0.0,3,0,0,N,OTA,Corporate,CH-7060,ACC2059,2024-02-23 00:00:00,bookings_202402.csv
48,Mews,BK900048,BHG-2024-000048,CUST100691,BRO-MAI-AUT24,Maison Royale,2024-04-09 00:00:00,,,2024-04-11 00:00:00,2024-07-09 00:00:00,2024-07-16 00:00:00,2024-07-09 00:00:00,2024-07-16 00:00:00,20414.39,11682.88,397.27,15.35,0.0,3,2,0,N,Travel Agent,Indirect,CH-6219,ACC2042,2024-04-09 00:00:00,bookings_202404.csv
49,ProtelPMS,BK900049,BHG-2024-000049,CUST100183,BRO-GRA-WIN24,Grand Palais,2023-02-12 00:00:00,,,2023-02-13 02:00:00,2023-06-10 02:00:00,2023-06-20 02:00:00,2023-06-10 02:00:00,2023-06-20 02:00:00,9082.97,5341.57,175.46,21.9,0.0,2,0,0,N,Travel Agent,Indirect,CH-2738,ACC2010,2023-02-12 00:00:00,bookings_202302.csv
50,Mews,BK900050,BHG-2024-000050,CUST100238,BRO-GRA-WIN24,Grand Palais,2023-10-13 00:00:00,,,2023-10-13 18:00:00,2023-11-13 18:00:00,2023-11-16 18:00:00,2023-11-13 18:00:00,2023-11-16 18:00:00,4030.83,2253.8,114.31,24.21,0.0,2,0,0,N,Corporate,Direct,CH-7054,ACC2043,2023-10-13 00:00:00,bookings_202310.csv
51,Mews,BK900051,BHG-2024-000051,CUST100209,BRO-GRA-AUT24,Grand Palais,2024-08-07 00:00:00,,,2024-08-09 06:00:00,2024-12-07 06:00:00,2024-12-17 06:00:00,2024-12-07 06:00:00,2024-12-17 06:00:00,15479.79,11786.5,260.05,40.0,0.0,2,0,0,N,Web,Direct,CH-5562,ACC2019,2024-08-07 00:00:00,bookings_202408.csv
52,ProtelPMS,BK900052,BHG-2024-000052,CUST100685,BRO-GRA-SPR24,Grand Palais,2023-12-29 00:00:00,,,2023-12-29 10:00:00,2024-03-01 10:00:00,2024-03-03 10:00:00,2024-03-01 10:00:00,2024-03-03 10:00:00,2184.61,1571.11,54.79,3.33,0.0,2,0,0,N,Corporate,Direct,CH-9540,ACC2008,2023-12-29 00:00:00,bookings_202312.csv
53,Mews,BK900053,BHG-2024-000053,CUST100326,BRO-GRA-AUT24,Grand Palais,2024-07-25 00:00:00,,,2024-07-25 04:00:00,2025-01-10 04:00:00,2025-01-11 04:00:00,2025-01-10 04:00:00,2025-01-11 04:00:00,1473.58,900.38,25.45,36.62,0.0,2,1,0,N,Telephone,Direct,CH-2453,ACC2013,2024-07-25 00:00:00,bookings_202407.csv
54,ProtelPMS,BK900054,BHG-2024-000054,CUST100529,BRO-GRA-WIN24,Grand Palais,2023-08-08 00:00:00,,,2023-08-08 00:00:00,2023-12-04 00:00:00,2023-12-06 00:00:00,2023-12-04 00:00:00,2023-12-06 00:00:00,746.6,528.77,18.07,28.4,0.0,2,0,0,N,Corporate,Corporate,CH-3950,ACC2055,2023-08-08 00:00:00,bookings_202308.csv
55,Mews,BK900055,BHG-2024-000055,CUST100308,BRO-GRA-SPR24,Grand Palais,2023-08-26 00:00:00,,,2023-08-27 13:00:00,2024-02-21 13:00:00,2024-02-28 13:00:00,2024-02-21 13:00:00,2024-02-28 13:00:00,13106.93,8099.37,239.65,43.33,0.0,3,1,0,Y,Corporate,Indirect,CH-5053,ACC2054,2023-08-26 00:00:00,bookings_202308.csv
56,ProtelPMS,BK900056,BHG-2024-000056,CUST100679,BRO-GRA-AUT24,Grand Palais,2023-04-29 00:00:00,,,2023-04-29 22:00:00,2023-09-01 22:00:00,2023-09-05 22:00:00,2023-09-01 22:00:00,2023-09-05 22:00:00,6590.26,4357.87,178.4,22.01,0.0,2,1,0,N,Web,Indirect,CH-5389,ACC2028,2023-04-29 00:00:00,bookings_202304.csv
57,Micros,BK900057,BHG-2024-000057,CUST100520,BRO-CHÂ-AUT24,Château Moderne,2024-02-23 00:00:00,,,2024-02-23 07:00:00,2024-07-22 07:00:00,2024-07-26 07:00:00,2024-07-22 07:00:00,2024-07-26 07:00:00,6835.44,4427.97,129.26,2.46,0.0,2,1,1,N,Travel Agent,Corporate,CH-1747,ACC2014,2024-02-23 00:00:00,bookings_202402.csv
58,Mews,BK900058,BHG-2024-000058,CUST100316,BRO-CHÂ-AUT24,Château Moderne,2024-02-24 00:00:00,,,2024-02-25 04:00:00,2024-07-27 04:00:00,2024-07-29 04:00:00,2024-07-27 04:00:00,2024-07-29 04:00:00,2120.24,1429.35,62.03,0.95,0.0,4,0,0,N,GDS,Indirect,CH-6778,ACC2029,2024-02-24 00:00:00,bookings_202402.csv
59,ProtelPMS,BK900059,BHG-2024-000059,CUST100567,BRO-GRA-SPR24,Grand Palais,2024-11-01 00:00:00,,,2024-11-01 06:00:00,2025-03-20 06:00:00,2025-03-23 06:00:00,2025-03-20 06:00:00,2025-03-23 06:00:00,2695.14,1624.49,72.82,40.98,0.0,1,0,1,Y,Telephone,Corporate,CH-5074,ACC2005,2024-11-01 00:00:00,bookings_202411.csv
60,ProtelPMS,BK900060,BHG-2024-000060,CUST100014,BRO-MAI-SUM24,Maison Royale,2023-01-21 00:00:00,,,2023-01-23 19:00:00,2023-02-25 19:00:00,2023-03-07 19:00:00,2023-02-25 19:00:00,2023-03-07 19:00:00,7968.78,4427.26,195.02,30.96,0.0,2,0,0,N,GDS,Direct,CH-7190,ACC2003,2023-01-21 00:00:00,bookings_202301.csv
61,ProtelPMS,BK900061,BHG-2024-000061,CUST100672,BRO-GRA-AUT24,Grand Palais,2023-05-15 00:00:00,2023-06-09 10:00:00,Flight cancelled,2023-05-16 10:00:00,2023-06-13 10:00:00,2023-06-15 10:00:00,2023-06-13 10:00:00,2023-06-15 10:00:00,994.69,737.02,23.95,6.83,198.94,3,1,0,N,Travel Agent,Indirect,CH-9394,ACC2026,2023-05-15 00:00:00,bookings_202305.csv
62,ProtelPMS,BK900062,BHG-2024-000062,CUST100024,BRO-MAI-SPR24,Maison Royale,2023-10-08 00:00:00,,,2023-10-10 10:00:00,2023-12-07 10:00:00,2023-12-09 10:00:00,2023-12-07 10:00:00,2023-12-09 10:00:00,2876.97,1866.56,52.75,18.28,0.0,3,2,1,Y,Travel Agent,Corporate,CH-9736,ACC2020,2023-10-08 00:00:00,bookings_202310.csv
63,Micros,BK900063,BHG-2024-000063,CUST100519,BRO-GRA-AUT24,Grand Palais,2024-01-27 00:00:00,,,2024-01-27 02:00:00,2024-06-09 02:00:00,2024-06-14 02:00:00,2024-06-09 02:00:00,2024-06-14 02:00:00,10902.37,7445.36,167.61,34.7,0.0,4,2,0,N,Corporate,Corporate,CH-2785,ACC2016,2024-01-27 00:00:00,bookings_202401.csv
64,ProtelPMS,BK900064,BHG-2024-000064,CUST100659,BRO-MAI-WIN24,Maison Royale,2023-12-07 00:00:00,2023-12-13 18:00:00,Change of plans,2023-12-07 18:00:00,2024-05-23 18:00:00,2024-05-25 18:00:00,2024-05-23 18:00:00,2024-05-25 18:00:00,451.46,290.17,12.45,23.55,90.29,1,1,0,Y,Travel Agent,Indirect,CH-6102,ACC2020,2023-12-07 00:00:00,bookings_202312.csv
65,Mews,BK900065,BHG-2024-000065,CUST100346,BRO-GRA-SPR24,Grand Palais,2023-06-04 00:00:00,,,2023-06-04 04:00:00,2023-09-01 04:00:00,2023-09-15 04:00:00,2023-09-01 04:00:00,2023-09-15 04:00:00,42088.17,30457.47,1133.03,24.55,0.0,4,0,0,N,Travel Agent,Indirect,CH-8913,ACC2054,2023-06-04 00:00:00,bookings_202306.csv
66,Micros,BK900066,BHG-2024-000066,CUST100527,BRO-MAI-SUM24,Maison Royale,2023-03-25 00:00:00,,,2023-03-25 13:00:00,2023-07-18 13:00:00,2023-07-20 13:00:00,2023-07-18 13:00:00,2023-07-20 13:00:00,4830.3,2791.62,86.75,39.14,0.0,4,0,0,N,Corporate,Indirect,CH-3797,ACC2036,2023-03-25 00:00:00,bookings_202303.csv
