raw_component_id,raw_booking_id,external_booking_id,component_type,component_reference,component_name,external_accommodation_id,external_supplier_id,start_date,end_date,created_ts,cancelled_ts,cancellation_notes,duration_days,sequence,price,cost,price_currency,cost_currency,price_fx_rate,cost_fx_rate,adults,children,infants,status,load_ts,source_file
39,25,BK900025,Laundry,COMP-0000039,Laundry - Deluxe,,SUP5002,2023-07-08 12:00:00,2023-07-08 13:00:00,2023-06-11 00:00:00,,,0,2,3534.86,2103.63,EUR,EUR,1.0,1.0,4,2,0,Checked-In,2023-06-11 00:00:00,bookings_202306.csv
40,26,BK900026,Accommodation,COMP-0000040,Accommodation - Standard,ACC2027,SUP5002,2023-12-27 01:00:00,2023-12-28 01:00:00,2023-09-25 00:00:00,,,1,1,607.38,379.08,USD,EUR,1.07619,1.0,2,0,0,Checked-In,2023-09-25 00:00:00,bookings_202309.csv
41,27,BK900027,Accommodation,COMP-0000041,Accommodation - Standard,ACC2031,SUP5005,2023-05-31 10:00:00,2023-06-02 10:00:00,2023-05-13 00:00:00,2023-05-31 10:00:00,Change of plans,2,1,964.03,705.32,GBP,EUR,1.06172,1.0,1,0,1,Cancelled,2023-05-13 00:00:00,bookings_202305.csv
42,27,BK900027,Minibar,COMP-0000042,Minibar - Deluxe,,SUP5003,2023-05-31 10:00:00,2023-05-31 14:00:00,2023-05-13 00:00:00,2023-05-31 10:00:00,Change of plans,0,2,702.14,449.86,EUR,EUR,1.0,1.0,1,0,1,Cancelled,2023-05-13 00:00:00,bookings_202305.csv
43,28,BK900028,Accommodation,COMP-0000043,Accommodation - Standard,ACC2044,SUP5003,2023-05-31 22:00:00,2023-06-01 22:00:00,2023-01-19 00:00:00,,,1,1,1293.8,792.78,EUR,EUR,1.0,1.0,2,0,1,Checked-Out,2023-01-19 00:00:00,bookings_202301.csv
44,28,BK900028,Laundry,COMP-0000044,Laundry - Standard,,SUP5001,2023-05-31 22:00:00,2023-05-31 23:00:00,2023-01-19 00:00:00,,,0,2,900.16,553.09,GBP,EUR,1.05351,1.0,2,0,1,Checked-In,2023-01-19 00:00:00,bookings_202301.csv
45,28,BK900028,Minibar,COMP-0000045,Minibar - Standard,,SUP5006,2023-05-31 22:00:00,2023-06-01 01:00:00,2023-01-19 00:00:00,,,0,3,760.21,551.79,EUR,EUR,1.0,1.0,2,0,1,Checked-Out,2023-01-19 00:00:00,bookings_202301.csv
46,29,BK900029,Accommodation,COMP-0000046,Accommodation - Standard,ACC2016,SUP5001,2024-01-30 11:00:00,2024-01-31 11:00:00,2023-08-26 00:00:00,,,1,1,2580.97,1530.89,EUR,EUR,1.0,1.0,3,2,0,Confirmed,2023-08-26 00:00:00,bookings_202308.csv
47,29,BK900029,Restaurant,COMP-0000047,Restaurant - Standard,,SUP5005,2024-01-30 11:00:00,2024-01-30 12:00:00,2023-08-26 00:00:00,,,0,2,1310.43,916.06,GBP,EUR,0.99002,1.0,3,2,0,Checked-In,2023-08-26 00:00:00,bookings_202308.csv
48,30,BK900030,Accommodation,COMP-0000048,Accommodation - Premium,ACC2003,SUP5001,2024-04-28 20:00:00,2024-05-01 20:00:00,2023-11-18 00:00:00,,,3,1,1448.48,967.57,GBP,EUR,1.06515,1.0,1,2,1,Confirmed,2023-11-18 00:00:00,bookings_202311.csv
49,30,BK900030,Transfer,COMP-0000049,Transfer - Deluxe,,SUP5001,2024-04-28 20:00:00,2024-04-28 21:00:00,2023-11-18 00:00:00,,,0,2,560.99,325.91,EUR,EUR,1.0,1.0,1,2,1,Checked-In,2023-11-18 00:00:00,bookings_202311.csv
50,31,BK900031,Accommodation,COMP-0000050,Accommodation - Standard,ACC2029,SUP5003,2025-04-11 14:00:00,2025-04-21 14:00:00,2024-12-31 00:00:00,,,10,1,10950.99,6522.57,EUR,EUR,1.0,1.0,3,0,0,Confirmed,2024-12-31 00:00:00,bookings_202412.csv
51,32,BK900032,Accommodation,COMP-0000051,Accommodation - Standard,ACC2054,SUP5002,2024-09-11 05:00:00,2024-09-21 05:00:00,2024-06-17 00:00:00,,,10,1,17014.41,10080.26,GBP,EUR,1.07406,1.0,2,0,0,Confirmed,2024-06-17 00:00:00,bookings_202406.csv
52,33,BK900033,Accommodation,COMP-0000052,Accommodation - Premium,ACC2038,SUP5004,2024-02-27 14:00:00,2024-02-28 14:00:00,2024-01-29 00:00:00,,,1,1,287.88,158.44,USD,EUR,0.99437,1.0,2,1,1,Checked-Out,2024-01-29 00:00:00,bookings_202401.csv
53,34,BK900034,Accommodation,COMP-0000053,Accommodation - Deluxe,ACC2043,SUP5001,2024-04-02 04:00:00,2024-04-06 04:00:00,2023-11-09 00:00:00,,,4,1,5817.27,4179.31,USD,EUR,1.0297,1.0,2,0,0,Checked-Out,2023-11-09 00:00:00,bookings_202311.csv
54,35,BK900035,Accommodation,COMP-0000054,Accommodation - Premium,ACC2036,SUP5002,2024-06-25 12:00:00,2024-07-02 12:00:00,2024-02-02 00:00:00,,,7,1,5246.65,4057.78,USD,EUR,0.93599,1.0,3,2,0,Checked-In,2024-02-02 00:00:00,bookings_202402.csv
55,36,BK900036,Accommodation,COMP-0000055,Accommodation - Deluxe,ACC2016,SUP5004,2024-10-11 13:00:00,2024-10-25 13:00:00,2024-07-09 00:00:00,,,14,1,9186.89,5058.25,USD,EUR,1.0609,1.0,2,0,0,Checked-In,2024-07-09 00:00:00,bookings_202407.csv
56,37,BK900037,Accommodation,COMP-0000056,Accommodation - Standard,ACC2055,SUP5001,2023-11-07 08:00:00,2023-11-08 08:00:00,2023-07-03 00:00:00,,,1,1,967.88,573.64,USD,EUR,0.91752,1.0,2,0,0,Checked-In,2023-07-03 00:00:00,bookings_202307.csv
57,37,BK900037,Minibar,COMP-0000057,Minibar - Deluxe,,SUP5001,2023-11-07 08:00:00,2023-11-07 11:00:00,2023-07-03 00:00:00,,,0,2,691.56,443.15,EUR,EUR,1.0,1.0,2,0,0,Checked-Out,2023-07-03 00:00:00,bookings_202307.csv
58,38,BK900038,Accommodation,COMP-0000058,Accommodation - Premium,ACC2029,SUP5002,2023-09-20 09:00:00,2023-09-23 09:00:00,2023-07-04 00:00:00,,,3,1,714.93,429.78,EUR,EUR,1.0,1.0,1,0,0,Checked-Out,2023-07-04 00:00:00,bookings_202307.csv
59,38,BK900038,Laundry,COMP-0000059,Laundry - Premium,,SUP5005,2023-09-20 09:00:00,2023-09-20 13:00:00,2023-07-04 00:00:00,,,0,2,249.89,160.46,USD,EUR,0.92965,1.0,1,0,0,Checked-In,2023-07-04 00:00:00,bookings_202307.csv
60,39,BK900039,Accommodation,COMP-0000060,Accommodation - Deluxe,ACC2021,SUP5003,2023-04-20 22:00:00,2023-04-21 22:00:00,2023-02-12 00:00:00,,,1,1,1259.97,809.27,EUR,EUR,1.0,1.0,2,0,0,Checked-In,2023-02-12 00:00:00,bookings_202302.csv
61,40,BK900040,Accommodation,COMP-0000061,Accommodation - Standard,ACC2008,SUP5003,2024-08-13 09:00:00,2024-08-16 09:00:00,2024-06-07 00:00:00,,,3,1,3618.54,2312.2,GBP,EUR,1.08375,1.0,2,1,0,Checked-In,2024-06-07 00:00:00,bookings_202406.csv
62,41,BK900041,Accommodation,COMP-0000062,Accommodation - Standard,ACC2019,SUP5006,2024-11-15 03:00:00,2024-11-19 03:00:00,2024-09-28 00:00:00,2024-10-28 03:00:00,Flight cancelled,4,1,833.35,602.23,EUR,EUR,1.0,1.0,1,2,0,Cancelled,2024-09-28 00:00:00,bookings_202409.csv
63,41,BK900041,Transfer,COMP-0000063,Transfer - Standard,,SUP5001,2024-11-15 03:00:00,2024-11-15 07:00:00,2024-09-28 00:00:00,2024-10-28 03:00:00,Flight cancelled,0,2,174.92,128.97,EUR,EUR,1.0,1.0,1,2,0,Cancelled,2024-09-28 00:00:00,bookings_202409.csv
64,41,BK900041,Minibar,COMP-0000064,Minibar - Premium,,SUP5005,2024-11-15 03:00:00,2024-11-15 04:00:00,2024-09-28 00:00:00,2024-10-28 03:00:00,Flight cancelled,0,3,138.72,103.84,EUR,EUR,1.0,1.0,1,2,0,Cancelled,2024-09-28 00:00:00,bookings_202409.csv
65,42,BK900042,Accommodation,COMP-0000065,Accommodation - Standard,ACC2049,SUP5004,2024-11-21 10:00:00,2024-11-24 10:00:00,2024-10-26 00:00:00,,,3,1,3163.45,1843.36,USD,EUR,0.99323,1.0,2,2,1,Confirmed,2024-10-26 00:00:00,bookings_202410.csv
66,42,BK900042,Spa,COMP-0000066,Spa - Deluxe,,SUP5001,2024-11-21 10:00:00,2024-11-21 12:00:00,2024-10-26 00:00:00,,,0,2,2517.5,1918.64,USD,EUR,0.93494,1.0,2,2,1,Checked-Out,2024-10-26 00:00:00,bookings_202410.csv
67,43,BK900043,Accommodation,COMP-0000067,Accommodation - Standard,ACC2019,SUP5001,2023-11-16 18:00:00,2023-11-20 18:00:00,2023-09-07 00:00:00,,,4,1,3663.98,2353.56,EUR,EUR,1.0,1.0,2,0,0,Confirmed,2023-09-07 00:00:00,bookings_202309.csv
68,44,BK900044,Accommodation,COMP-0000068,Accommodation - Deluxe,ACC2051,SUP5001,2024-08-04 05:00:00,2024-08-06 05:00:00,2024-03-04 00:00:00,,,2,1,1152.62,785.42,GBP,EUR,1.00181,1.0,1,1,0,Checked-Out,2024-03-04 00:00:00,bookings_202403.csv
69,44,BK900044,Transfer,COMP-0000069,Transfer - Premium,,SUP5005,2024-08-04 05:00:00,2024-08-04 07:00:00,2024-03-04 00:00:00,,,0,2,554.12,322.81,EUR,EUR,1.0,1.0,1,1,0,Checked-In,2024-03-04 00:00:00,bookings_202403.csv
70,45,BK900045,Accommodation,COMP-0000070,Accommodation - Deluxe,ACC2057,SUP5003,2023-11-22 23:00:00,2023-11-23 23:00:00,2023-07-22 00:00:00,,,1,1,1354.99,980.85,EUR,EUR,1.0,1.0,2,0,1,Checked-In,2023-07-22 00:00:00,bookings_202307.csv
71,46,BK900046,Accommodation,COMP-0000071,Accommodation - Premium,ACC2058,SUP5004,2024-04-17 21:00:00,2024-04-22 21:00:00,2024-03-08 00:00:00,,,5,1,1891.3,1076.18,EUR,EUR,1.0,1.0,1,0,0,Confirmed,2024-03-08 00:00:00,bookings_202403.csv
72,46,BK900046,Transfer,COMP-0000072,Transfer - Deluxe,,SUP5003,2024-04-17 21:00:00,2024-04-18 00:00:00,2024-03-08 00:00:00,,,0,2,1359.0,897.49,USD,EUR,0.94918,1.0,1,0,0,Checked-In,2024-03-08 00:00:00,bookings_202403.csv
73,46,BK900046,Laundry,COMP-0000073,Laundry - Standard,,SUP5002,2024-04-17 21:00:00,2024-04-17 22:00:00,2024-03-08 00:00:00,,,0,3,683.31,379.91,EUR,EUR,1.0,1.0,1,0,0,Confirmed,2024-03-08 00:00:00,bookings_202403.csv
74,47,BK900047,Accommodation,COMP-0000074,Accommodation - Standard,ACC2059,SUP5002,2024-06-22 09:00:00,2024-06-25 09:00:00,2024-02-23 00:00:00,,,3,1,5970.48,4534.6,EUR,EUR,1.0,1.0,3,0,0,Checked-In,2024-02-23 00:00:00,bookings_202402.csv
75,48,BK900048,Accommodation,COMP-0000075,Accommodation - Deluxe,ACC2042,SUP5006,2024-07-09 00:00:00,2024-07-16 00:00:00,2024-04-09 00:00:00,,,7,1,17352.23,11011.0,GBP,EUR,0.99679,1.0,3,2,0,Checked-In,2024-04-09 00:00:00,bookings_202404.csv
76,49,BK900049,Accommodation,COMP-0000076,Accommodation - Premium,ACC2010,SUP5003,2023-06-10 02:00:00,2023-06-20 02:00:00,2023-02-12 00:00:00,,,10,1,7720.52,5900.78,GBP,EUR,0.92799,1.0,2,0,0,Checked-Out,2023-02-12 00:00:00,bookings_202302.csv
77,50,BK900050,Accommodation,COMP-0000077,Accommodation - Standard,ACC2043,SUP5006,2023-11-13 18:00:00,2023-11-16 18:00:00,2023-10-13 00:00:00,,,3,1,3426.21,2559.77,EUR,EUR,1.0,1.0,2,0,0,Confirmed,2023-10-13 00:00:00,bookings_202310.csv
78,51,BK900051,Accommodation,COMP-0000078,Accommodation - Deluxe,ACC2019,SUP5004,2024-12-07 06:00:00,2024-12-17 06:00:00,2024-08-07 00:00:00,,,10,1,13157.82,8480.02,EUR,EUR,1.0,1.0,2,0,0,Checked-Out,2024-08-07 00:00:00,bookings_202408.csv
79,52,BK900052,Accommodation,COMP-0000079,Accommodation - Standard,ACC2008,SUP5006,2024-03-01 10:00:00,2024-03-03 10:00:00,2023-12-29 00:00:00,,,2,1,1856.92,1076.64,USD,EUR,0.96939,1.0,2,0,0,Checked-Out,2023-12-29 00:00:00,bookings_202312.csv
80,53,BK900053,Accommodation,COMP-0000080,Accommodation - Deluxe,ACC2013,SUP5002,2025-01-10 04:00:00,2025-01-11 04:00:00,2024-07-25 00:00:00,,,1,1,1252.54,844.71,GBP,EUR,0.96774,1.0,2,1,0,Confirmed,2024-07-25 00:00:00,bookings_202407.csv
81,54,BK900054,Accommodation,COMP-0000081,Accommodation - Deluxe,ACC2055,SUP5003,2023-12-04 00:00:00,2023-12-06 00:00:00,2023-08-08 00:00:00,,,2,1,634.61,405.26,EUR,EUR,1.0,1.0,2,0,0,Checked-Out,2023-08-08 00:00:00,bookings_202308.csv
82,54,BK900054,Parking,COMP-0000082,Parking - Premium,,SUP5004,2023-12-04 00:00:00,2023-12-04 01:00:00,2023-08-08 00:00:00,,,0,2,279.6,209.45,EUR,EUR,1.0,1.0,2,0,0,Checked-Out,2023-08-08 00:00:00,bookings_202308.csv
83,55,BK900055,Accommodation,COMP-0000083,Accommodation - Deluxe,ACC2054,SUP5006,2024-02-21 13:00:00,2024-02-28 13:00:00,2023-08-26 00:00:00,,,7,1,11140.89,6922.26,GBP,EUR,0.99191,1.0,3,1,0,Checked-In,2023-08-26 00:00:00,bookings_202308.csv
84,56,BK900056,Accommodation,COMP-0000084,Accommodation - Standard,ACC2028,SUP5001,2023-09-01 22:00:00,2023-09-05 22:00:00,2023-04-29 00:00:00,,,4,1,5601.72,4165.82,USD,EUR,0.91803,1.0,2,1,0,Confirmed,2023-04-29 00:00:00,bookings_202304.csv
85,56,BK900056,Restaurant,COMP-0000085,Restaurant - Premium,,SUP5006,2023-09-01 22:00:00,2023-09-02 02:00:00,2023-04-29 00:00:00,,,0,2,1703.7,1247.09,EUR,EUR,1.0,1.0,2,1,0,Checked-Out,2023-04-29 00:00:00,bookings_202304.csv
86,56,BK900056,Transfer,COMP-0000086,Transfer - Standard,,SUP5005,2023-09-01 22:00:00,2023-09-02 01:00:00,2023-04-29 00:00:00,,,0,3,1118.94,615.5,GBP,EUR,1.0156,1.0,2,1,0,Checked-In,2023-04-29 00:00:00,bookings_202304.csv
87,57,BK900057,Accommodation,COMP-0000087,Accommodation - Deluxe,ACC2014,SUP5002,2024-07-22 07:00:00,2024-07-26 07:00:00,2024-02-23 00:00:00,,,4,1,5810.12,4164.89,EUR,EUR,1.0,1.0,2,1,1,Confirmed,2024-02-23 00:00:00,bookings_202402.csv
88,57,BK900057,Transfer,COMP-0000088,Transfer - Standard,,SUP5003,2024-07-22 07:00:00,2024-07-22 09:00:00,2024-02-23 00:00:00,,,0,2,2270.8,1696.25,USD,EUR,0.9919,1.0,2,1,1,Checked-In,2024-02-23 00:00:00,bookings_202402.csv
89,58,BK900058,Accommodation,COMP-0000089,Accommodation - Premium,ACC2029,SUP5006,2024-07-27 04:00:00,2024-07-29 04:00:00,2024-02-24 00:00:00,,,2,1,1802.2,1330.12,EUR,EUR,1.0,1.0,4,0,0,Checked-Out,2024-02-24 00:00:00,bookings_202402.csv
90,59,BK900059,Accommodation,COMP-0000090,Accommodation - Deluxe,ACC2005,SUP5001,2025-03-20 06:00:00,2025-03-23 06:00:00,2024-11-01 00:00:00,,,3,1,2290.87,1315.4,USD,EUR,0.99508,1.0,1,0,1,Checked-Out,2024-11-01 00:00:00,bookings_202411.csv
